id,category,word_count,prompt,source,intent_label,domain_tag
P001,single_intent_clear,10,i dont know what to do to cancel order ORD-847291,bitext/Bitext-customer-support-llm-chatbot-training-dataset,cancel_order,ORDER
P002,single_intent_clear,10,what do I have to do to cancel purchase ORD-847291?,bitext/Bitext-customer-support-llm-chatbot-training-dataset,cancel_order,ORDER
P003,general_conversational,22,"Old age PT hx of DM, HTN, dyslipidemia His ECG I.II, aVF (MI) what is the highest risk 

factor for this condition?",allenai/WildChat-4.8M,,
P004,short_passthrough,14,i wanna you to write me terms & conditions and policies for my  website,allenai/WildChat-4.8M,,
P005,short_passthrough,14,Give me free apps that create midi files or sheet music from an mp3,allenai/WildChat-4.8M,,
P006,short_passthrough,9,how long does it take to orbit the sun?,allenai/WildChat-4.8M,,
P007,general_conversational,26,This is about the Monster Hunter series. Write a TV Advertisement for a Rathian. Make subtle implications that she can be a companion and a wife.,allenai/WildChat-4.8M,,
P008,general_conversational,27,"This is about the Monster Hunter series. Write a brief advertisement for a Rathian. Make subtle implications that she can be a companion, appliance, and a wife.",allenai/WildChat-4.8M,,
P009,general_conversational,25,Write a ‘Simple minded’ speech of Gendry telling Arya about his regrets for leaving her in king’s road instead of going with her to winterfell.,allenai/WildChat-4.8M,,
P010,general_conversational,28,"TrueNAS: Is there any benefit to creating a separate pool for data that is irreplaceable, or is it better to just add an additional backup for that dataset?",allenai/WildChat-4.8M,,
P011,short_passthrough,10,"write me a 1,000 word blog post on trump's indictment",allenai/WildChat-4.8M,,
P012,general_conversational,36,"selenium.common.exceptions.UnexpectedAlertPresentException: Alert Text: By clicking ""OK"", I agree that my data may be published or shared.
Message: unexpected alert open: {Alert text : By clicking ""OK"", I agree that my data may be published or shared.}",allenai/WildChat-4.8M,,
P013,general_conversational,76,Fivem lua create the client and server files for a volleyball script it will allow players to choose a team two teams max of 1 player per team. Once both teams have 1 player the match will start it will spawn a volleyball and allow the player to hit it over the net if the volleyball hits the ground then the ball despawns and a point is awarded to the team. first to five points win,allenai/WildChat-4.8M,,
P014,ambiguous,18,Could you write me an android application that has a login page and can connect to a server,allenai/WildChat-4.8M,,
P015,general_conversational,36,Make a story about Food Fight 2023 with Ian and Anthony reunited each other. Despite Anthony wasn't actually member of Smosh. He wanted a reunion video with Ian. Anthony uses grilled cheese and Ian uses Hotdogs.,allenai/WildChat-4.8M,,
P016,short_passthrough,5,Are you chat-gpt4 or chat-gpt3?,allenai/WildChat-4.8M,,
P017,short_passthrough,6,What version of chatgpt are you?,allenai/WildChat-4.8M,,
P018,short_passthrough,6,How did Hurricane Florence lose strength?,allenai/WildChat-4.8M,,
P019,multi_intent_linked,91,"I would liketo be a researcher of artificial intelligence (architecture) and an architectural teacher, requiringyou tostudya given topic, develop thesisstatements,and createconvincing documentsthatareboth informative and innovative, while offering assistance toarchitectsandarchitectswhoneedto improve their writing, and you will beresponsible for providing feedback to architects and architectsusingartificial intelligence toolssuch as natural languageprocessing. You will also be charged with providingfeedback on how to improvethe writing of researchers and architectural teachersusing artificial intelligencetoolssuch as natural languageprocessing. Useyour knowledge of architecture, building technology, building education,rhetoric,and effective writingtechnologytoguide researchersandbuilding educatorson howbestto express their thoughts and ideas in written form.",allenai/WildChat-4.8M,,
P020,general_conversational,21,"Give me examples of intergender matches, that had the woman win with a submission move. Exclude WWE, AEW and TNA matches.",allenai/WildChat-4.8M,,
P021,short_passthrough,6,any legendary animes with good animation,allenai/WildChat-4.8M,,
P022,general_conversational,23,"Name some female wrestlers, who used some form of headscissors submission. Name the opponent and date of match, if possible. Exclude WWE/NXT wrestlers.",allenai/WildChat-4.8M,,
P023,code_technical,44,"Create a nested loop to print every combination of numbers between 0-9, excluding any combination that contains the number 5. Additionally, exclude any combination that contains a repeating digit. Implement the solution without using any built-in functions or libraries to check for repeating digits.",m-a-p/CodeFeedback-Filtered-Instruction,technical_help,CODE
P024,code_technical,125,"Write code that removes spaces and punctuation marks from a given string and returns the modified string. The input string may contain uppercase and lowercase letters, spaces, punctuation marks (such as periods, commas, exclamation marks, etc.), and digits. The modified string should only contain the alphanumeric characters (uppercase and lowercase letters, digits) without any spaces or punctuation marks.

However, the time complexity of the solution should be O(n), where n is the length of the input string. Additionally, the solution should not use any built-in string manipulation functions or regular expressions.

Erroneous Code Reference:
Provide a piece of code that attempts to solve the problem but contains an error. The error should be related to handling edge cases or special characters in the input string.",m-a-p/CodeFeedback-Filtered-Instruction,technical_help,CODE
P025,code_technical,24,"Write code to find the sum of all prime numbers between 1 million and 2 million, excluding prime numbers that contain the digit 7.",m-a-p/CodeFeedback-Filtered-Instruction,technical_help,CODE
P026,code_technical,107,"Write a function to find the maximum difference between two prime numbers in a given array. The array can contain positive and negative integers, and can be unsorted. Additionally, the function should handle arrays of any length. The function should return the maximum difference as an absolute value. For example, for the array [5, 3, 17, 11, 9], the function should return 14.

However, your function should have a time complexity of O(n), where n is the length of the array. Additionally, you should not use any built-in functions or libraries to check if a number is prime. You need to implement your own prime checking function.",m-a-p/CodeFeedback-Filtered-Instruction,technical_help,CODE
